20221010	15:38:25	b7db6d6c-6fbc-42f8-9755-581eb69b3c62	GET	undefined	/
20221010	15:38:25	4ab14676-645b-4f25-8f32-511d8726ce2a	GET	undefined	/css/style.css
20221010	15:39:59	b9a4f13b-bbda-4172-b107-14685ce3b786	GET	undefined	/subdir/
20221010	15:40:15	f00f604c-f453-475a-80bf-45d13ce710a3	GET	undefined	/subdir/
20221010	15:40:17	0b6d54c8-25f6-4ab3-9b75-59dadcb990bd	GET	undefined	/subdir/
20221010	15:41:22	4f5db777-0c30-4047-bdb8-92931807d00c	GET	undefined	/
20221010	15:41:22	1a2431c6-1524-45f6-9f08-c2e56e5c0faf	GET	undefined	/css/style.css
20221010	15:42:10	6e6359d4-354b-4f97-88ac-71034cfc02f3	GET	undefined	/subdir/
20221010	15:43:04	37919dac-0b18-4b72-a5ad-57f37c7b9bc8	GET	undefined	/subdir/
20221010	15:44:23	f83470e4-813b-4cb1-ae7f-a36528e75bfd	GET	undefined	/subdir/
20221010	15:44:24	91045abb-9110-4ad4-bc57-e7d2678e248b	GET	undefined	/subdir/
20221010	15:44:25	2031a259-d727-41b8-827a-2ac2279c3658	GET	undefined	/subdir/
20221010	15:44:26	3d277ff2-bcb2-40d1-867a-37ba843ebcb4	GET	undefined	/subdir/
20221010	15:44:37	a60bc838-74e3-4295-8f82-782e8431a6b1	GET	undefined	/subdir/
20221010	15:44:38	c0f9e8e0-86d1-4d40-8e66-20489b849e10	GET	undefined	/subdir/
20221010	15:44:41	d4d53751-d7e1-452e-bfbf-780dc54acf8f	GET	undefined	/
20221010	15:44:41	d0a96bd0-13b6-4f72-8007-0b361ac731ae	GET	undefined	/css/style.css
20221010	15:44:46	c817c51b-c47f-4d7e-9552-d7e4d5dd4055	GET	undefined	/subdir/
20221010	15:45:24	ff374af2-cfce-45fc-a465-c6675f32d84f	GET	undefined	/subdir/test
20221010	15:46:31	932dcad8-3545-4900-950e-c9191263749a	GET	undefined	/subdir/testtt
20221010	15:46:31	3988629f-3441-4e5f-9f04-43c69bc9b913	GET	undefined	/subdir/css/style.css
20221010	15:50:41	3dd44928-8647-4915-88a2-88b348dee997	GET	undefined	/subdir/testtt
20221010	15:50:41	2279ac39-065e-4e01-84ed-1437bcf481f6	GET	undefined	/subdir/css/style.css
20221010	16:04:54	eefa1dc9-5b89-4a76-9e14-1856a834a4a8	GET	undefined	/
20221010	16:04:54	41270a67-c35e-4007-90a6-0f2b70c9ed26	GET	undefined	/css/style.css
20221010	16:05:04	1d1b97c0-8820-4bd2-b92a-d33af9a8c81c	GET	undefined	/new-page
20221010	16:05:04	c0e8db40-cf03-4616-a756-60dd9cfeb887	GET	undefined	/css/style.css
20221010	16:05:04	babd9449-1db7-4c40-a505-7a6fa23e5f5c	GET	undefined	/img/img1.png
20221010	16:05:21	47131ca3-e75e-4de5-aa86-2407734883a0	GET	undefined	/
20221010	16:05:22	e012cb71-8712-4d9d-a86d-a67422df27e8	GET	undefined	/css/style.css
20221010	16:05:27	3424374e-bd27-4886-bcf0-93099bcff630	GET	undefined	/old-page
20221010	16:05:27	7713ed16-705e-4b36-9770-9b708dfc6afd	GET	undefined	/new-page.html
20221010	16:05:28	f1de6185-3f94-4d8d-b09e-37eac7fdd66d	GET	undefined	/css/style.css
20221010	16:05:28	3d289182-68c7-47dd-b2f3-9d561f597021	GET	undefined	/img/img1.png
20221010	16:05:38	7b0e9fec-44a1-4056-a9b1-c652f1827a37	GET	undefined	/index
20221010	16:05:38	f578e00b-872b-4f0c-9546-69a1f474f254	GET	undefined	/css/style.css
20221010	16:42:33	53ec1be5-3241-4ed9-9f25-69a74964d03e	GET	undefined	/
20221010	16:42:33	7da18bd7-e46b-4fc1-a015-0bc1a4b185ab	GET	undefined	/css/style.css
20221010	16:48:04	6db8ea24-55d4-412d-b0a3-8d94a3d077be	GET	undefined	/employees
20221010	16:53:17	91799b92-93ac-41d3-b775-f1204ae07c32	GET	undefined	/
20221010	16:53:17	0e07dac9-7655-4094-bfe1-226732b5b181	GET	undefined	/css/style.css
20221010	16:53:19	8e807df9-321e-4535-9e5c-bd58120f783c	GET	undefined	/
20221010	16:53:19	9b893959-3268-43da-99dc-cd55160d41da	GET	undefined	/css/style.css
20221010	16:53:29	dd475f75-c3fb-43f4-b902-4c41fbc0f830	GET	undefined	/
